row_type,Column1,team_name,country,country_iso,bf_team1,bf_fuzzy1,bf_team2,bf_fuzzy2,bf_team3,bf_fuzzy3,bf_team4,bf_fuzzy4,bf_team5,bf_fuzzy5,bf_team6,bf_fuzzy6,bf_team7,bf_fuzzy7,bf_team8,bf_fuzzy8,bf_team9,bf_fuzzy9,bf_team10,bf_fuzzy10,bf_team11,bf_fuzzy11,bf_team12,bf_fuzzy12,bf_team13,bf_fuzzy13,manual_insertion1stround,manual_insertion2ndround
bf_teamnames,4,Paderborn,Germany,DE,Paderborn,100,Paderborn 07 II,90,SC Paderborn 07 II,90,Union Sandersdorf,60,Kaan-Marienborn,60,Kaan Marienborn,60,SG Union Sandersdorf,60,Verona,60,FV Eppelborn,57,Derry,57,Lagerdorf,56,Werder Bremen,55,Altludersdorf,55,,
names_match,4,Paderborn,Germany,DE,1,100,0,90,0,90,0,60,0,60,0,60,0,60,0,60,0,57,0,57,0,56,0,55,0,55,,
bf_teamnames,17,RB Leipzig,Germany,DE,RB Leipzig,100,RB Leipzig II,95,Lokomotiv Leipzig,86,International Leipzig,86,BSG Chemie Leipzig,86,FC Lokomotive Leipzig,86,Chemie Leipzig,78,VfB Linz,56,Betis,54,SV Breinig,50,Freiburg II,48,Nurnberg II,48,RWS Lohberg,48,,
names_match,17,RB Leipzig,Germany,DE,1,100,0,95,0,86,0,86,0,86,0,86,0,78,0,56,0,54,0,50,0,48,0,48,0,48,,
bf_teamnames,16,Sandhausen,Germany,DE,SV Sandhausen,95,Sandhausen II,95,SV Sandhausen II,90,Wacker Nordhausen,72,Wacker Nordhausen II,72,SV Rodinghausen,64,FC Brunninghausen,63,FC Bruenninghausen,63,FC Brünninghausen,63,TuS Schwachhausen,63,TSV Emmelshausen,63,BCF Wolfratshausen,63,TUS Schwachhausen,63,,
names_match,16,Sandhausen,Germany,DE,1,95,0,95,0,90,0,72,0,72,0,64,0,63,0,63,0,63,0,63,0,63,0,63,0,63,,
bf_teamnames,10,Schalke 04,Germany,DE,Schalke 04,100,Schalke,95,Schalke 04 II,95,Siegburger SV 04,86,Siegburger SV�04,86,SC Westfalia 04 Herne,86,Ratingen SV G 04/19 EV,86,Sieburger SV 04,86,Greifswalder SV 04,86,Siegburger SV?04,86,Ratingen SV Germania 04/19,86,Westfalia 04 Herne,86,Schalke II,80,,
names_match,10,Schalke 04,Germany,DE,1,100,1,95,0,95,0,86,0,86,0,86,0,86,0,86,0,86,0,86,0,86,0,86,0,80,,
bf_teamnames,2,St. Pauli,Germany,DE,St Pauli,95,St Pauli II,95,Spain,57,Sparta Prague,55,USC Paloma,53,SV Tasmania Berlin,53,FC Sturm Hauzenberg,50,SSV Ulm,50,Westfalia Rhynern,50,SV Linx,50,Vsg Altglienicke,50,Westfalia Herne,50,TUS Marialinden 1946,50,,
names_match,2,St. Pauli,Germany,DE,1,95,0,95,0,57,0,55,0,53,0,53,0,50,0,50,0,50,0,50,0,50,0,50,0,50,,
